한글명,영문명
정밀도,Precision
예정자,Predestinator
술어,Predicates
예측,Prediction
선호도,Preference
접두사,Prefix
예비,Preliminary
전제,Premise
전제,Premises
보험료,Premium
준비,Preparation
선불,Prepayment
선불 금액,Prepayment Amount
처방,Prescribe
처방,Prescription
현재,Present
현재 상태,Present Condition
제시,Presentation
제시자,Presenter
보존,Preservation
사장,President
추정,Presumptive
전제 가정,Presupposition
사전 치료,Pretreat
승인,Prevailing
예방,Prevention
미리보기,Preview
이전,Previous
지난해,Previous Year
지난달,Previous month
지난 분기,Previous quarter
지난해 및 월,Previous year and month
지난해 및 분기,Previous year and quarter
가격,Price
주요,Primary
주요 키,Primary Key
주요,Principal
원칙,Principle
인쇄,Print
인쇄물,Printed Matter
인쇄,Printing
이전,Prior
우선순위,Priority
비공개,Private
권한,Privilege
확률,Probability
보호관찰,Probation
문제,Problem
절차,Procedure
절차,Procedures
진행,Proceed
수익,Proceeds
처리,Process
처리됨,Processed
처리,Processing
처리자,Processor
조달,Procure
조달,Procurement
생산,Produce
생산됨,Produced
생산자,Producer
제품,Product
제품 수,Product Count
제품 목록,Product List
제품세,Product Tax
생산,Production
전문,Professional
프로파일,Profile
프로파일링,Profiling
이익,Profit
이익 손실,Profit loss
프로포마,Proforma
프로그램,Program
진행,Progress
진행형 잭포트,Progressive Jackport
금지,Prohibition
프로젝트,Project
예상,Projected
예상,Projection
프롤로그,Prologue
약속,Promise
약속어음,Promissory Note
승인,Promotion
공포,Promulgation
선고,Pronouncement
증명,Proof
전파,Propagation
추진,Propelled
추진자,Propeller
재산,Proper
재산권,Property
비율,Proportion
제안,Proposal
제안된,Proposed
소유자,Proprietor
재산권,Propriety
추진,Propulsion
기소,Prosecute
기소인,Prosecution
검찰관,Prosecutor
예상,Prospect
보호,Protection
항의,Protest
공증인,Prothonotary
의정서,Protocol
제공자,Provider
제공,Provision
정보 제공,Provision Of Information
제공 공급,Provision Supply
가정,Provisional
단서,Proviso
공개,Public
공개 경매,Public Auction
공개 증명서,Public Certificate
공개 인증,Public Certification
공무원,Public Servant
공고,Publication
공개,Publish
공개 회사,Publish Company
공개됨,Published
발행인,Publisher
처벌,Punishment
학생,Pupil
매수,Purchase
매수 수수료,Purchase Fee
매수 대금,Purchase Money
매수 지시서,Purchase Order
구매자,Purchaser
순도,Purity
목적,Purpose
추진,Push
QABP,QABP
Qblock,Qblock
Qna,Qna
Qr,Qr
Qte 포장,Qte Emballage
자격,Qualification
품질,Quality
수량,Quantity
검역,Quarantine
분기,Quarter
분기별,Quarterly
분기별,Quartier
준사법적,Quasi-Judicial
부두,Quay
질의,Query
질문,Question
설문지,Questionary
설문지,Questionnaire
대기열,Queue
대기 중,Queued
할당량,Quota
견적,Quotation
RAABP,RAABP
RAEBP,RAEBP
재신청,REAPPLICATION
RII,RII
ROI,ROI
랙,Rack
방사선,Radiation
무선,Radio
전파,Radio Wave
방사능,Radioactivity
반경,Radius
철도,Rail
철도,Railroad
무작위,Random
범위,Range
등급,Rank
급속,Rapid
급속성,Rapidity
비율,Rate
평가 가능,Rateable
등급,Rating
비율,Ratio
원자재,Raw
원자재,Raw Materials
Rccm,Rccm
Rdl,Rdl
재분석,Re-Analysis
재감사,Re-Audit
재분류,Re-Classification
재요청,Re-Request
재수출,Re-export exportation
재수입,Re-importation
재경로 변경,Re-route
도달,Reaching
반응,Reaction
판독,Read
판독자,Reader
판독,Reading
준비,Ready
준비금,Ready money
시약,Reagent
실제,Real
실시간,Real-time
실시간 모니터링 시스템,Real-time monitoring system
실현,Realization
재할당,Reallocation
영역,Realm
재신청,Reapply
재임명,Reappoinment
재평가,Reappraisal
사유,Reason
재평가,Reassessment
재할당,Reassign
재할당자,Reassigner
재할당,Reassignment
재승인,Reauthorization
리베이트,Rebate
리베이트 제공자,Rebater
리베이트,Rebates
재계산,Recalculation
회수,Recall
수취,Receipt
미수금,Receivables
수취,Receive
수취,Received
수취인,Receiver
수취 중,Receiving
최근,Recent
접수,Reception
접수원,Receptionist
수신자,Recipient
인식,Recognition
재조합,Recombination
추천,Recomendation
추천,Recommandation
추천하다,Recommend
권장 사항,Recommendations
추천자,Recommender
재건,Recon
화해,Reconciled
화해,Reconciliation
재건,Reconstruction
기록,Record
기록,Recording
복구,Recover
복구 가능,Recoverable
복구됨,Recovered
복구,Recovery
모집,Recruitment
정정,Rectification
적색,Red
재개발,Redevelopment.
재분배,Redistribution
재실행,Redo
감소,Reduce
감소,Reduction
감소 및 예외,Reduction And Exception
재검토,Reexamine
재수출,Reexport
참조,Refer
심판,Refereeing
참고,Reference
정리,Refininf
반사,Reflect
반사체,Reflector
환류,Reflux
개량,Reform
상쾌하게,Refresh
냉장,Refrigeration
냉장고,Refrigerator
급유,Refueling
환불,Refund
환불됨,Refunded
환불,Refundment
거부,Refusal
거부,Refuse
정식,Regal
관심,Regard
제도,Regime
지역,Region
지역적,Regional
지역 세관 통과 보증,Regional customs transit guarantee
등록,Register
등록됨,Registered
등록자,Registrant
등록기관,Registrar
등록,Registration
등록부,Registry
재교부,Regrant
퇴보,Regression
정규성,Regularity
규제,Regulation
규제,Regulatory
복구,Rehabilitation
재수입,Reimport
재수입 - 재수출,Reimport - Reexport
재검사,Reinspection
복원,Reinstatement
재계장,Reinstrumentation
재보험,Reinsurance
재보험사,Reinsurer
재발급,Reissue
거부,Rejected
거부,Rejection
관련,Related
관계,Relation
관계 기본 정보,Relation Basic Information
관계자,Relation Person
관계,Relationship
중계,Relay
해제,Release
해제 및 반입,Release And Bring
해제 명령,Release Order
해제됨,Released
관련성,Relevant
신뢰성,Reliability
구제,Relief
종교,Religion
재장전,Reloading
남음,Remain
나머지,Remainder
나머지 통지,Remainder Notice
남음,Remained
선내 잔류,Remaining on board
비고,Remark
알림,Reminder
면제,Remission
송금,Remittance
원격,Remote
제거,Removal
제거,Remove
보수,Remuneration
재협상,Renegotiation
갱신,Renew
갱신,Renewal
임대료,Rent
임대료,Rental
임대료,Rental Fee
임대료,Rented
임대,Renumeration
보수,Reopen
재개방,Reopening
재개방,Repackage
재포장,Repacking
수리,Repair
송환,Repatriated
송환,Repatriation
상환,Repayment
재배포,Repblish
교체,Replacement
보충,Replenishment
보충,Repletion
복제,Replication
답변,Reply
보고,Report
보고 부서,Report Department
보고서 문서,Report Document
결과 보고,Report Results
상급자에게 보고,Report To Superior Official
보고됨,Reported
보고자,Reporter
진술,Representation
대표,Representative
견책,Reprimand
재인쇄,Reprint
재처리,Reprocess
복제,Reproduction
재발행,Repush
요청,Request
복원 요청,Request Compoundment
인원 요청,Request Person
자산 검색 요청,Request Search Asset
요청됨,Requested
요청자,Requester
필수,Required
필수 수량,Required Quantity
필수,Requirement
필수,Requirements
재정정,Rerectification
재등록,Reregistered
재등록,Reregistration
재판매,Resale
재봉인,Reseal
연구,Research
연구원,Researcher
재선정,Reselection
재발송,Resending
예약자,Reservant
예약,Reservation
예약됨,Reserved
예약,Reserves
재설정,Reset
거주지,Residence
거주지,Residency
거주자,Resident
거주,Residential
거주자,Residents
잔여 수량,Residual quantity
사임,Resignation
해결,Resolution
해결,Resolve
자료,Resource
자료실,Resource Room
존중,Respect
응답자,Respondent
응답,Response
응답 기관 공지,Response Agency Notice
책임,Responsibility
책임 있는,Responsible
나머지,Rest
복원,Restoration
제지,Restraint
제한,Restrict
제한,Restriction
재채우기,Restuffing
재제출,Resubmission
결과,Result
결과,Results
이력서,Resume
보관됨,Retained
보관,Retention
은퇴,Retirement
재전송,Retransmission
재심사,Retrial
소급성,Retroactivity
재시도,Retry
반환,Return
응답 플래그 반환,Return response flag
재평가,Revaluation
수익 게이트웨이 서비스,Revenu gateway service
수익,Revenue
수익 게이트웨이,Revenue gateway
역전,Reverse
역전,Reversion
검토,Review
검토됨,Reviewed
검토자,Reviewer
수정됨,Revised
수정됨,Revisedor
수정됨,Revision
수정됨,Revocation
보정됨,Revoked
보상,Reward
규정,Rgulation
리본,Ribbon
소총,Rifle
권리,Right
권리자,Rightful Person
상승,Rise
위험,Risk
도로,Road
도로세,Road Tax
배회,Roaming
강도,Robbery
역할,Role
지붕,Roof
방,Room
루트,Root
로프,Rope
회전,Rotation
라운딩,Rounding
경로,Route
라우팅,Routing
로버,Rover
행,Row
로열티,Royalty
수신자,Rrecipient
루프,Rs
규칙,Rule
규칙 기반,Rule Base
룰러,Ruler
룰링,Ruling
런,Run
활주로,Runway
러시아,Russia
RVC,Rvc
SARPCCO,SARPCCO
SDL,SDL
SETPI,SETPI
SIM,SIM
SKU,SKU
SMS,SMS
SQL,SQL
STD,STD
SWIFT,SWIFT
보관,Safekeeping
안전,Safety
항해,Sailing
급여,Salary
판매,Sale
판매,Sales
판매세,Sales Tax
소금,Salt
인사말,Salutation
동일,Same
동일 반기,Same Half-Year
동일 월,Same Month
동일 분기,Same Quarter
동일성,Sameness
샘플,Sample
위생 및 수의 검사,Sanitary And Veterinary Inspection
위생,Sanitation
위성,Satellite
만족도,Satisfaction
토요일,Saturday
저장,Save
규모,Scale
스캔,Scan
스캐너,Scanner
스캐닝,Scanning
시나리오,Scenario
일정,Schedule
스키마,Schema
스킴,Scheme
학교,School
과학,Science
학명,Scientific Name
범위,Scope
점수,Score
점수표,Scorecard
채점,Scoring
화면,Screen
대본,Script
정밀 조사,Scrutinization
정밀 조사됨,Scrutinized
바다,Sea
물범,Seal
검색,Search
검색자,Searcher
검색 중,Searching
계절,Season
좌석,Seat
좌석 수,Seat Count
좌석 수,Seat capacity
좌석,Seating
분리,Secession
중고,Second
보조,Secondary
중고 문서,Secondhand Article
비서,Secret
비서,Secretary
섹션,Section
섹터,Sector
보안 액세스 솔루션,Secure asccess solution
보안,Secured
증권,Securities
보안,Security
시드,Seed
세그먼트,Segment
압류,Seizer
압류,Seizure
압류 통지,Seizure Notice
선택,Selection
선택권,Selectivity
선택자,Selector
자체,Self
자체 평가 세금,Self assessed tax
자체 평가 질문,Self assessment question
자체 통제,Self-Control
판매,Sell
판매자,Seller
판매 중,Selling
반도체,Semi
반도체,Semiconductor
세미트레일러,Semitrailer
보내기,Send
출항 금지 명령서 발송,Send Departure Prohibition Order
발송인,Sender
발송됨,Sent
문장,Sentence
분리,Separation
구분자,Separator
9월,September
순서,Sequence
일련번호,Serial
일련번호,Serial number
시리즈,Series
심각성,Seriousness
서버,Server
서비스,Service
서비스 제공자,Service provider
제공,Serving
세션,Session
설정,Set
상계,Setoff
설정,Setting
정산,Settlement
정산자,Settler
설정,Setup
심각성,Severity
성별,Sex
Sgs,Sgs
형태,Shape
주식,Share
주주,Shareholder
주식,Shares
창고,Shed
시트,Sheet
교대,Shift
선박,Ship
선박 상품,Ship Commodity
선박 입항 및 이륙,Ship Entry Into Port & Take-Off
선주,Ship Owner
선박 주문,Ship order
조선,Shipbuilding
선적,Shipment
화주 또는 수출자 또는 위탁자,Shipper Or Exporter Or Consigner
배송,Shipping
운송 회사,Shipping Company
운송 지점,Shipping Marks
운송 대행업체,Shipping agent
운송사,Shipping line
상점,Shop
쇼핑,Shopping
해안,Shore
짧은,Short
인터넷에 대한 짧은 댓글,Short Comment On The Internet
부족,Shortage
바로가기,Shortcut
단축,Shortening
후보 목록,Shortlist
표시,Show
Sid,Sid
측면,Side
측면 추적,Sidetrack
서명,Sign
신호,Signal
서명자,Signatory
서명,Signature
서명됨,Signed
서명자,Signer
유사성,Similarity
단순,Simple
단순 객체 접근 프로토콜,Simple object access protocol
단순성,Simplicity
단순화,Simplification
시뮬레이션,Simulation
이후,Since
진실성,Sincerity
싱가포르,Singapore
단일,Single
단일 행정 문서,Single administrative document
단일성,Singleness
사이트,Site
좌석,Sitting
상황,Situation
크기,Size
골격,Skeleton
스케치,Sketch
스킨,Skin
건너뛰기,Skip
도살,Slaughter
노예,Slave
슬라이드,Slide
약간,Slight
미끄러짐,Slip
슬롯,Slot
배출할 슬러지,Sludge To Discharge
소규모 분류,Small Classification
스마트,Smart
SMTP,Smtp
밀수,Smuggling
스냅샷,Snapshot
소셜,Social
사회,Society
소켓,Socket
소프트웨어,Software
체류,Sojourn
판매됨,Sold
솔더,Soldier
용해도,Solubility
해결책,Solution
정렬,Sort
건전성,Sound
출처,Soundness
출처책,Source
공간,Source Book
여유,Space
Spare,Spare
Spcode,Spcode
특수,Special
특징,Special Feature
특성화,Specialization
특수성,Specialness
특수성,Specialty
수종,Species
수종,Species Of Trees
특정,Specific
특정 관세율,Specific Tariff Rate
특정 세금,Specific Tax
특정 관세,Specific duty
규격,Specification
투기,Speculation
투기적,Speculative
속도,Speed
스피릿,Spirit
분할,Split
스팟,Spot
스폰서,Spouse
스프레드,Spread
스프레더,Spreader
스파이,Spy
스퀘어,Square
Sso,Sso
안정성,Stability
직원,Staff
단계,Stage
단계 통과,Stage Passed
지분,Stake
이해관계자,Stakeholder
스탬프,Stamp
표준,Standard
표준 요금 구매,Standard Rate Purchase
표준 크기,Standard Size
표준 값,Standard Value
표준 편차,Standard deviation
표준화,Standardization
시작,Start
시작 지점,Starting point
시작,Startup
상태,State
진술,Statement
진술 입장,Statement Admission
출발지,Stater
역,Station
역 코드,Station code
통계,Statistical
통계,Statistics
조형물,Statuary
상태,Status
조형물,Statute
법정,Statutory
유지,Stay
조타,Steering
단계,Step
하역 노동자,Stevedore
스티커,Sticker
재고,Stock
정차,Stop
경유지,Stopover
보관,Storage
저장,Store
저장함,Storebox
밀수,Stow Away
적재,Stowage
유랑,Straggle
전략,Strategy
거리,Street
거리 또는 마을,Street or village
강도,Strength
제거,Strike off
스트링,String
스트리핑,Stripping
구조,Structure
채우기,Stuffing
스타일,Style
하위,Sub
하도급,Subcontract
하도급,Subcontracting
소하도급,Subheading
소제목,Subject
주제,Subjective
주관적,Submission
제출,Submit
제출,Submitted
제출됨,Submitter
제출자,Subnutrition
하위영양소,Subpartition
하위분류,Subrogated
대위변제,Subscribe
구독,Subscriber
구독자,Subscription
구독자,Subsidiary
자회사,Substitute
대체,Substitution
대체,Subtitle
부제목,Subtotal
소계,Subtraction
감산,Subward
하위,Succeeding
후속,Success
성공,Successful Bid
성공 입찰,Successful Bidder
성공 입찰자,Succession
후속,Successor
후속자,Suez Canal
수에즈 운하,Sufficiency
접미사,Suffix
설탕,Sugar
제안,Suggestion
소송,Suit
적합성,Suitability
요약,Summary
요약,Summation
여름,Summer
소환,Summons
일요일,Sunday
감독자,Super
감독관,Superintendence
감독,Superintendent
감독관,Supervision
감독자,Supervisor
보충,Supplementary
보충 작업,Supplementary Works
보충,Supplementation
제공됨,Supplied
공급업체,Supplier
공급,Supplies
공급,Supply
수요-공급,Supply-Demand
지원,Support
추가,Sur
추가 요금,Surcharge
잉여금,Surplus
부가세,Surtax
조사,Surveillance
조사,Survey
측량,Surveying
측량사,Surveyor
생존,Survival
용의자,Suspect
매달림,Suspended
미결,Suspense
매달림,Suspension
의심,Suspicion
스왑,Swap
Swb,Swb
스위치,Switch
소드,Sword
Sygec,Sygec
기호,Symbol
증상,Symptoms
동기화,Synchronization
유의어,Synonym
구문,Syntax
합성,Synthesis
시스템,System
TANCIS,TANCIS
TANSAD,TANSAD
TAQA,TAQA
TBS,TBS
TCCIA,TCCIA
TCRA,TCRA
TEM,TEM
TIN,TIN
TISD,TISD
TLI,TLI
TPA,TPA
TPC,TPC
TPF,TPF
TRA,TRA
TZS,TZS
탭,Tab
담배,Tabacco
테이블,Table
테이블스페이스,Tablespace
태그,Tag
맞춤형,Tailored
조치 수행,Take Action
이륙,Take-Off
인수,Takeover
Tancis 데이터 웨어하우스 시스템,Tancis data warehouse system
탱크,Tank
탱커,Tanker
탄자니아,Tanzania
테이프,Tape
용기,Tare
대상,Target
대상 국가,Target Country
대상 징수,Targeted collection
관세,Tariff
관세율,Tariff Rate
관세 분류,Tariff classification
작업,Task
세금,Tax
세금 계산,Tax Calculation
납세 증명서,Tax Clearance Certificate
면세,Tax Free
세금 품목,Tax Item
세무서,Tax Office
예산 초과 세금,Tax Outside Of Budget
세율,Tax Rate
거주자 증명서,Tax Residency Certificate
세수입,Tax Revenue
예산 내 세금,Tax Within Budget
세무행정법,Tax administration act
세무서류 미제출 세금,Tax stood over
과세 대상,Taxable
과세,Taxation
과세 기준,Taxation Base
세금,Taxes
납세자,Taxpayer
TCC,Tcc
팀,Team
팀장,Team Leader
기술,Technique
기술,Technology
전화번호,Telephone number
전화번호1,Telephone number1
전화번호2,Telephone number2
텔레비전,Television
텔렉스,Telex
성격,Temper
온도,Temperature
템플릿,Template
임시,Temporary
임시 수출,Temporary export
임시 수입,Temporary importation
임시 차량,Temporary vehicle
임차인,Tenant
경향,Tendency
입찰,Tenders
기간,Tenor
임시성,Tentativeness
임시 임대 기간,Tenure
기간,Term
터미널,Terminal
해지,Terminate
해지,Termination
약관,Terms
약관,Terms and conditions
영토,Territory
테러,Terror
테스트,Test
테스터,Tester
증언자,Testifier
텍스트,Text
태국,Thailand
보다,Than
잔액,The Balance Amount
중앙아프리카 경제 및 통화 공동체,The Central African Economic and Monetary Community
소유자 수,The Owner Count
물품 소유자,The Owner Of Goods
법원장,The President Of A Court
주제,Theme
이론적,Theoretical
두께,Thickness
세 번째,Third
세 번째,Three
기준,Threshold
통과,Through
목요일,Thursday
틱,Tic
티켓,Ticket
기와,Tile
목재,Timber
시간,Time
시간 제한,Time Limit
수락 시간,Time To Accept
타임라인,Timeline
타임아웃,Timeout
시간,Times
타임스탬프,Timestamp
시간대,Timezone
타이밍,Timing
팁,Tip
팁오프,Tip-Off
타이어,Tire
소유권,Title
소유자,Titleholder
종료,To
미정,To be determined
해야 할 일,To do
미정,Tobe
오늘,Today
화장실,Toilet
토큰,Token
허용 오차,Tolerance
톤,Ton
톤수,Tonnage
공구,Tool
공구,Tools
치아,Tooth
상단,Top
주제,Topic
토폴로지,Topology
합계,Total
총 화물,Total Cargo
총 컨테이너 수,Total Container Count
총 수,Total Count
총 일수,Total Day Count
총 리터,Total Liter
총 인원 수,Total Personnel Count
총 수량,Total Quantity
총 수령량,Total Receive
총 점수,Total Score
총 세액,Total Tax Amount
총 과세액,Total Taxation
총 과세 기준액,Total Taxation Base
총 평가액,Total Valuation
총 중량,Total Weight
총 예상 판매액,Total indicative Sales
총 예상 구매액,Total indicative purchases
총계,Totalization
터치,Touch
투어,Tour
관광,Tourist
견인선,Towboat
도시,Town
추적,Tracing
트랙백,Trackback
추적기,Tracker
추적,Tracking
트랙터,Tractor
무역,Trade
상표,Trademark
무역업자,Trader
무역,Trading
트레일,Trail
트레일러,Trailer
기차,Train
도착 기차역,Train Station Of Arrival
훈련,Training
거래,Transaction
환승,Transfer
양수인,Transferee
양수인,Transferer
양수인,Transferor
양수인,Transferred
양수된,Transform
변환,Transformation
변환,Transgressor
위반자,Transires
통과,Transit
통과 및 환적,Transit and transshipment
통과 신고 1,Transit declaration 1
전환,Transition
번역,Translation
전송,Transmission
전송,Transmition
송신기,Transmitter
이식,Transplantation
운송,Transport
운송료,Transport Charges
운송업체,Transporter
환적,Transshipment
쓰레기통,Trashbox
여행사,Travel
여행사,Travel Agency
재무 담당자,Treasurer
재무부,Treasury
처리,Treatment
조약,Treaty
트렌드,Trend
시련,Trials
부족,Tribe
재판소,Tribunal
트리거,Trigger
여행,Trip
열대,Tropical
고장,Trouble
트럭,Truck
신탁,Trust
수탁자,Trustee
진실,Truth
시도,Try
Ttu,Ttu
화요일,Tuesday
예인선,Tugboat
터널,Tunnel
회전,Turn
회전,Turnover
20피트 단위,Twenty-foot equivalent unit
트위터,Twitter
2개,Two
유형,Type
산업 유형,Type Of Industry
UIN,UIN
UNSPSC,UNSPSC
URI,URI
URL,URL
USD,USD
부족량,Ullage
Un,Un
철회 불가,Un_Withdraw
불가능,Unable
승인되지 않음,Unadmitted
미적용,Unappropriated
할당되지 않음,Unassigned
사용 불가,Unavailable
차단 해제,Unblock
변경 불가,Unchangiable
분류되지 않음,Unclassified
불분명,Unclear
미확인,Uncleared
흔하지 않음,Uncommonness
미복합,Uncompoundment
확인 불가,Unconfirm
위헌성,Unconstitutionality
미결정,Undecided
과소평가,Under
과소평가,Underestimate
암묵적,Underground
사업,Undertaking
분배되지 않음,Undistributed
획득되지 않음,Unearned
예상치 못하게,Unexpectedly
불성실함,Unfaithful
미분배,Unfiled
통합,Unification
연합,Union
독특함,Unique
고유 위탁품 참조 번호,Unique consignment reference
고유 식별자,Unique identifier
단위,Unit
측정 단위,Unit of measure
유엔 무역 및 운송 위치 코드,United Nations Code For Trade And Transport Locations
범용 고유 식별자,Universally unique identifier
대학,University
알 수 없음,Unknown
불법 행위,Unlawfulness
무제한,Unlimited
하역,Unloading
비행기에서 하역,Unloading From Airplane
선박에서 하역,Unloading From Vessel
저당권 해제,Unmortgage
미지급,Unpaid
미지급,Unpayment
미처리,Unprocessed
미적격,Unqualified
미조정,Unreconciled
미환급,Unredeemed
미등록,Unregistered
미면제,Unrelieved
미조사,Unsurveyed
까지,Until
최대,Up
업데이트,Update
업데이트됨,Updated
업로드,Upload
상한,Upper
상한 가격,Upper Limit
상한 가격,Upper Limit Price
상한 가격,Upward
상한 가격,Urge
요구,Urge Sheet
요구서,Usage
사용,Use
사용 목적 외 사용,Use Except For Purpose
사용됨,Used
유용성,Usefulness
사용자,User
사용,Ussance
UTC,Utc
사용,Utilize
사용됨,Utilized
부가가치세,VAT
VFD,VFD
VRN,VRN
해제됨,Vacated
해제,Vacation
유효,Valid
유효 값,Valid Value
유효 값1,Valid Value1
유효 값2,Valid Value2
유효 값3,Valid Value3
유효성,Validation
유효성,Validity
종가세,Valorem Tax
평가,Valuation
가치,Value
가치1,Value1
가치2,Value2
가치3,Value3
평가자,Valuer
증기,Vapor
증발,Vaporize
변동,Variable
변동,Variance
변종,Variety
변동,Vary
차량,Vehicle
차량 주행 안전성 검사,Vehicle Roadworthiness Test
판매자,Vendor
환기,Ventilation
장소,Venue
평결,Verdict
평가,Vergleich
검증,Verification
검증됨,Verified
검증자,Verifier
버전,Version
수직,Vertical
수직 방향,Vertically
선박,Vessel
선박 수,Vessel Count
수의사,Veterinarian
경유,Via
국가 경유,Via Country
위치 경유,Via Location
피해자,Victim
베트남,Vietnam
전망,View
시청자,Viewer
관찰 지점,Viewpoint
마을,Village
마을,Ville
위반,Violation
위반 상품,Violation Commodity
위반자,Violator
가상,Virtual
가시적,Visible
시각적,Vision
방문,Visit
방문한,Visited
방문자,Visitor
활력,Vitality
무효,Void
전압,Voltage
용량,Volume
용량 보정 계수,Volume correction factor
자발적,Voluntarily
투표,Vote
투표자,Voter
바우처,Voucher
항해,Voyage
항해 차이,Voyage Difference
VPN,Vpn
VS,Vs
취약한,Vulnerable
WIP,WIP
Wad,Wad
임금,Wage
임금 청구서,Wage bills
마차,Wagon
대기,Wait
대기 중,Waiting
면제,Waive
면제,Waiver
보행로,Walk
벽,Wall
입장권 부족 전표,Want of entry slip
병동,Ward
창고,Warehouse
경고,Warning
보증서,Warrant
보증인,Warrantee
Was,Was
세척,Wash
폐기물,Waste
물 갤런,Water gallons
워터스,Waters
웨이블릿 스칼라 양자화,Wavelet scalar quantization
방식,Way
운송장,Waybil
Wco,Wco
약점,Weakness
무기,Weapon
무기류,Weaponry
마모,Wear And Tear
웹,Web
웹사이트,Website
수요일,Wednesday
주,Week
주말,Weekend
주간,Weekly
무게,Weight
무게 보정 계수,Weight correction factor
가중치,Weighted
가중치 값,Weighted Value
가중치,Weighting
부두,Wharfage
위치,Where
도매,Wholesale
개찰구,Wicket
너비,Width
야생,Wildness
창문,Window
창문,Windows
날개,Wing
우승자,Winner
우승,Winning
겨울,Winter
유선,Wire
무선,Wireless
무선 LAN,Wireless lan
인출,With
인출,Withdrawal
인출,Withdrwal
원천징수,Withheld
원천징수세,Withhoding tax
원천징수자,Withholdee
원천징수인,Withholder
원천징수액,Withholding
원천징수세,Withholding Tax
예산 내,Within
예산 내,Within Budget
없이,Without
증인,Witness
증인 진술서,Witness Statement
단어,Word
워드클라우드,Wordcloud
업무,Work
워크북,Workbook
근로자,Worker
워크플로,Workflow
업무,Working
직장,Workplace
업무 계획,Workplan
작업실,Workroom
업무,Works
작업 공간,Workspace
세상,World
걱정,Worry
가치 있는,Worth
가치 있는,Worthy
쓰기,Write
답변,Write Back
삭감,Write Off
쓰기,Writing
서면,Written
서면 증거,Written Evidence
서면 통지,Written Notice
서면 의견,Written Opinion
서면 허가,Written Permission
답변,Written back
서면으로 기록,Written down
삭감,Written off
잘못됨,Wrong
X선 이미지 분석,X-ray image analysis
Xaf,Xaf
X선,Xray
YN,YN
야드,Yard
년,Year
년 및 월,Year And Month
년 반기,Year Half-Year
년 분기,Year Quarter
년 반기,Year and half
년 및 분기,Year and quarter
수입 연도,Year of Income
제조 연도,Year of manufacture
연간,Yearly
년,Years
노란색,Yellow
예,Yes
어제,Yesterday
Z,Z
잔지바르,Zanzibar
잔지바르 세관,Zanzibar customs
잔지바르 항만 공사,Zanzibar port corporation
제로,Zero
우편번호,Zip
구역,Zonal
구역,Zone
Zsign,Zsign
